family,dataset_id,n,dimension,hubness_sample_size,k_hub,hub_share_top1pct,hub_share_state,hub_share_reason,antihub_fraction,antihub_state,antihub_reason,seed,profile
gaussian,gaussian-128,50000,128,1000,10,0.1307,OK,,0.187,OK,,1337,reference
gaussian,gaussian-128,50000,128,1000,20,0.1078,OK,,0.091,OK,,1337,reference
gaussian,gaussian-128,50000,128,1000,5,0.1468,OK,,0.319,OK,,1337,reference
gaussian,gaussian-128,50000,128,20000,10,0.22775,OK,,0.29575,OK,,1337,reference
gaussian,gaussian-128,50000,128,20000,20,0.207005,OK,,0.18875,OK,,1337,reference
gaussian,gaussian-128,50000,128,20000,5,0.24634,OK,,0.4187,WARN,,1337,reference
gaussian,gaussian-128,50000,128,5000,10,0.19672,OK,,0.2446,OK,,1337,reference
gaussian,gaussian-128,50000,128,5000,20,0.17288,OK,,0.1442,OK,,1337,reference
gaussian,gaussian-128,50000,128,5000,5,0.22064,OK,,0.3806,OK,,1337,reference
gaussian,gaussian-128,50000,128,50000,10,0.253038,OK,,0.32082,OK,,1337,reference
gaussian,gaussian-128,50000,128,50000,20,0.233633,OK,,0.21224,OK,,1337,reference
gaussian,gaussian-128,50000,128,50000,5,0.270372,OK,,0.44346,WARN,,1337,reference
gaussian,gaussian-1536,50000,1536,1000,10,0.1542,OK,,0.271,OK,,1337,reference
gaussian,gaussian-1536,50000,1536,1000,20,0.1214,OK,,0.145,OK,,1337,reference
gaussian,gaussian-1536,50000,1536,1000,5,0.188,OK,,0.415,OK,,1337,reference
gaussian,gaussian-1536,50000,1536,20000,10,0.312595,OK,,0.43755,OK,,1337,reference
gaussian,gaussian-1536,50000,1536,20000,20,0.2760525,OK,,0.31225,OK,,1337,reference
gaussian,gaussian-1536,50000,1536,20000,5,0.34653,OK,,0.55765,WARN,,1337,reference
gaussian,gaussian-1536,50000,1536,5000,10,0.25952,OK,,0.3774,OK,,1337,reference
gaussian,gaussian-1536,50000,1536,5000,20,0.21926,OK,,0.2448,OK,,1337,reference
gaussian,gaussian-1536,50000,1536,5000,5,0.2998,OK,,0.506,WARN,,1337,reference
gaussian,gaussian-1536,50000,1536,50000,10,0.365828,WARN,,0.48098,WARN,,1337,reference
gaussian,gaussian-1536,50000,1536,50000,20,0.329311,OK,,0.35902,OK,,1337,reference
gaussian,gaussian-1536,50000,1536,50000,5,0.400308,WARN,,0.59654,FAIL,,1337,reference
gaussian,gaussian-384,50000,384,1000,10,0.1593,OK,,0.253,OK,,1337,reference
gaussian,gaussian-384,50000,384,1000,20,0.1259,OK,,0.14,OK,,1337,reference
gaussian,gaussian-384,50000,384,1000,5,0.192,OK,,0.401,WARN,,1337,reference
gaussian,gaussian-384,50000,384,20000,10,0.26635,OK,,0.3814,OK,,1337,reference
